From	To
O95050	CHEMBL2131
O95067	CHEMBL2094127
O95069	CHEMBL2321615
O95136	CHEMBL2955
O95139	CHEMBL2363065
O95140	CHEMBL4630807
O95147	CHEMBL1764941
O95149	CHEMBL3885569
O95153	CHEMBL5169104
O95166	CHEMBL4879423
O95167	CHEMBL2363065
O95168	CHEMBL2363065
O95169	CHEMBL2363065
O95178	CHEMBL2363065
O95180	CHEMBL1859
O95182	CHEMBL2363065
O95235	CHEMBL2021753
O95237	CHEMBL2202
O95239	CHEMBL6163
O95251	CHEMBL3774299
O95255	CHEMBL2073661
O95256	CHEMBL4804253
O95259	CHEMBL3841
O95263	CHEMBL4408
O95264	CHEMBL3895
O95267	CHEMBL5953
O95271	CHEMBL6164
O95279	CHEMBL4523157
O95298	CHEMBL2363065
O95299	CHEMBL2363065
O95340	CHEMBL4105790
O95342	CHEMBL6020
O95347	CHEMBL4105890
O95352	CHEMBL2321621
O95363	CHEMBL2511
O95365	CHEMBL5069375
O95372	CHEMBL1932891
O95382	CHEMBL1163123
O95393	CHEMBL3713453
O95396	CHEMBL4295684
O95398	CHEMBL2029197
O95433	CHEMBL3309113
O95436	CHEMBL4295685
O95453	CHEMBL3616362
O95456	CHEMBL3885624
O95461	CHEMBL2146300
O95470	CHEMBL3286061
O95477	CHEMBL2362986
O95497	CHEMBL4739843
O95503	CHEMBL3779762
O95544	CHEMBL6177
O95551	CHEMBL2169736
O95563	CHEMBL4295686
O95573	CHEMBL4680023
O95602	CHEMBL3286067
O95619	CHEMBL4296266
O95622	CHEMBL3189
O95625	CHEMBL5069363
O95628	CHEMBL4105770
O95630	CHEMBL4105848
O95631	CHEMBL1741307
O95644	CHEMBL3876
O95665	CHEMBL2514
O95696	CHEMBL2176774
O95718	CHEMBL3751
O95747	CHEMBL1163104
O95749	CHEMBL4769
O95760	CHEMBL4630890
O95782	CHEMBL4295687
O95785	CHEMBL4879424
O95800	CHEMBL4523861
O95819	CHEMBL6166
O95822	CHEMBL4698
O95831	CHEMBL4295688
O95835	CHEMBL6167
O95838	CHEMBL5844
O95848	CHEMBL4105943
O95864	CHEMBL6097
O95870	CHEMBL6168
O95907	CHEMBL3308921
O95931	CHEMBL1764946
O95932	CHEMBL2079852
O95977	CHEMBL3230
O95989	CHEMBL4295689
O96000	CHEMBL2363065
O96008	CHEMBL4523158
O96013	CHEMBL4482
O96017	CHEMBL2527
O96020	CHEMBL2094126
O96020	CHEMBL4523633
O96020	CHEMBL4523635
O96028	CHEMBL3108645
P00167	CHEMBL6170
P00325	CHEMBL3284
P00326	CHEMBL3285
P00338	CHEMBL4835
P00352	CHEMBL3577
P00374	CHEMBL202
P00387	CHEMBL2146
P00390	CHEMBL2755
P00395	CHEMBL6173
P00403	CHEMBL6174
P00439	CHEMBL3076
P00441	CHEMBL2354
P00451	CHEMBL3143
P00480	CHEMBL2222
P00488	CHEMBL4530
P00491	CHEMBL4338
P00492	CHEMBL2360
P00505	CHEMBL4524033
P00519	CHEMBL1862
P00533	CHEMBL203
P00540	CHEMBL1075184
P00558	CHEMBL2886
P00568	CHEMBL4925
P00734	CHEMBL204
P00736	CHEMBL4611
P00740	CHEMBL2016
P00742	CHEMBL244
P00746	CHEMBL2176771
P00747	CHEMBL1801
P00748	CHEMBL2821
P00749	CHEMBL3286
P00750	CHEMBL1873
P00751	CHEMBL5731
P00797	CHEMBL286
P00813	CHEMBL1910
P00915	CHEMBL261
P00918	CHEMBL205
P01008	CHEMBL1950
P01011	CHEMBL5960
P01019	CHEMBL3596085
P01023	CHEMBL4295690
P01024	CHEMBL4917
P01031	CHEMBL2364163
P01100	CHEMBL5029
P01106	CHEMBL1250348
P01111	CHEMBL2079845
P01112	CHEMBL2167
P01116	CHEMBL2189121
P01127	CHEMBL3108633
P01130	CHEMBL3311
P01133	CHEMBL5734
P01135	CHEMBL4662938
P01137	CHEMBL1795178
P01138	CHEMBL1649058
P01160	CHEMBL1293193
P01178	CHEMBL5169107
P01213	CHEMBL2227
P01215	CHEMBL2146305
P01275	CHEMBL5736
P01282	CHEMBL5737
P01308	CHEMBL5881
P01344	CHEMBL3712957
P01374	CHEMBL2059
P01375	CHEMBL1825
P01562	CHEMBL3713007
P01563	CHEMBL3856161
P01566	CHEMBL3856161
P01567	CHEMBL3856161
P01568	CHEMBL3856161
P01569	CHEMBL3856161
P01570	CHEMBL3856161
P01571	CHEMBL3856161
P01574	CHEMBL4630876
P01579	CHEMBL3286073
P01583	CHEMBL3580496
P01584	CHEMBL1909490
P01588	CHEMBL5837
P01589	CHEMBL1778
P01721	CHEMBL4739844
P01730	CHEMBL2754
P01833	CHEMBL4295691
P01848	CHEMBL3580506
P01854	CHEMBL1834
P01909	CHEMBL4105884
P01911	CHEMBL3831291
P02144	CHEMBL2406892
P02452	CHEMBL2364188
P02458	CHEMBL5169108
P02461	CHEMBL2364188
P02462	CHEMBL2364188
P02489	CHEMBL4296283
P02511	CHEMBL3621022
P02545	CHEMBL1293235
P02585	CHEMBL3831282
P02647	CHEMBL5984
P02656	CHEMBL4523160
P02671	CHEMBL2364709
P02675	CHEMBL2048
P02679	CHEMBL2364709
P02689	CHEMBL3826864
P02708	CHEMBL4808
P02724	CHEMBL5806
P02743	CHEMBL4929
P02748	CHEMBL4295693
P02751	CHEMBL3810
P02753	CHEMBL3100
P02763	CHEMBL4285
P02765	CHEMBL4295694
P02766	CHEMBL3194
P02768	CHEMBL3253
P02771	CHEMBL3712864
P02774	CHEMBL2259
P02776	CHEMBL3286075
P02778	CHEMBL3712964
P02786	CHEMBL3712860
P02787	CHEMBL4865
P02788	CHEMBL4523161
P03372	CHEMBL206
P03886	CHEMBL2363065
P03891	CHEMBL2363065
P03897	CHEMBL2363065
P03901	CHEMBL2363065
P03905	CHEMBL4499
P03915	CHEMBL2363065
P03923	CHEMBL2363065
P03950	CHEMBL5829
P03951	CHEMBL2820
P03952	CHEMBL2000
P03956	CHEMBL332
P03979	CHEMBL3580506
P04000	CHEMBL1949482
P04004	CHEMBL1075314
P04035	CHEMBL402
P04040	CHEMBL3627594
P04049	CHEMBL1906
P04053	CHEMBL4810
P04054	CHEMBL4426
P04062	CHEMBL2179
P04066	CHEMBL4176
P04070	CHEMBL4444
P04075	CHEMBL2106
P04085	CHEMBL3137294
P04114	CHEMBL4549
P04141	CHEMBL3712955
P04150	CHEMBL2034
P04156	CHEMBL4869
P04179	CHEMBL4105776
P04180	CHEMBL5942
P04181	CHEMBL5954
P04183	CHEMBL2883
P04198	CHEMBL4523165
P04201	CHEMBL3559701
P04233	CHEMBL4692
P04234	CHEMBL2364168
P04271	CHEMBL4300
P04275	CHEMBL2021748
P04278	CHEMBL3305
P04350	CHEMBL3838
P04406	CHEMBL2284
P04435	CHEMBL3580506
P04437	CHEMBL3580506
P04439	CHEMBL2632
P04626	CHEMBL1824
P04629	CHEMBL2815
P04632	CHEMBL2111357
P04637	CHEMBL4096
P04746	CHEMBL2045
P04792	CHEMBL5976
P04798	CHEMBL2231
P04818	CHEMBL1952
P04839	CHEMBL1287627
P04843	CHEMBL4295697
P04899	CHEMBL4105887
P05013	CHEMBL3856161
P05014	CHEMBL3856161
P05015	CHEMBL3856161
P05019	CHEMBL3217394
P05023	CHEMBL1807
P05026	CHEMBL2095186
P05067	CHEMBL2487
P05089	CHEMBL1075097
P05091	CHEMBL1935
P05093	CHEMBL3522
P05106	CHEMBL1907598
P05106	CHEMBL2093869
P05106	CHEMBL2111461
P05106	CHEMBL3883284
P05106	CHEMBL4106150
P05107	CHEMBL3631
P05108	CHEMBL2033
P05111	CHEMBL5169109
P05112	CHEMBL3712894
P05113	CHEMBL1169600
P05121	CHEMBL3475
P05129	CHEMBL2938
P05141	CHEMBL3709670
P05160	CHEMBL3351193
P05162	CHEMBL5977
P05164	CHEMBL2439
P05177	CHEMBL3356
P05181	CHEMBL5281
P05186	CHEMBL5979
P05187	CHEMBL4458
P05198	CHEMBL1255131
P05230	CHEMBL2120
P05231	CHEMBL1795129
P05362	CHEMBL3070
P05387	CHEMBL4295698
P05412	CHEMBL4977
P05413	CHEMBL3344
P05455	CHEMBL2040701
P05543	CHEMBL3843
P05556	CHEMBL1905
P05771	CHEMBL3045
P05981	CHEMBL2079849
P05997	CHEMBL2364188
P06127	CHEMBL3712888
P06132	CHEMBL1681619
P06133	CHEMBL6196
P06213	CHEMBL1981
P06239	CHEMBL258
P06241	CHEMBL1841
P06276	CHEMBL1914
P06280	CHEMBL2524
P06307	CHEMBL1649050
P06396	CHEMBL4295700
P06400	CHEMBL5288
P06401	CHEMBL208
P06493	CHEMBL308
P06576	CHEMBL2062350
P06681	CHEMBL4295701
P06702	CHEMBL4296265
P06729	CHEMBL2040
P06730	CHEMBL4848
P06731	CHEMBL3712881
P06732	CHEMBL2656
P06733	CHEMBL3298
P06734	CHEMBL2940
P06737	CHEMBL2568
P06744	CHEMBL4295702
P06746	CHEMBL2392
P06748	CHEMBL5178
P06753	CHEMBL3804747
P06756	CHEMBL3660
P06858	CHEMBL2060
P06865	CHEMBL1250415
P06870	CHEMBL2319
P07098	CHEMBL1796
P07099	CHEMBL1968
P07101	CHEMBL1969
P07148	CHEMBL5421
P07195	CHEMBL4940
P07202	CHEMBL1839
P07205	CHEMBL2096677
P07237	CHEMBL5422
P07288	CHEMBL2099
P07305	CHEMBL3707465
P07306	CHEMBL2084
P07315	CHEMBL4296285
P07320	CHEMBL4296286
P07327	CHEMBL1970
P07332	CHEMBL5455
P07333	CHEMBL1844
P07339	CHEMBL2581
P07355	CHEMBL1764938
P07359	CHEMBL4630891
P07384	CHEMBL3891
P07437	CHEMBL5444
P07451	CHEMBL2885
P07477	CHEMBL209
P07478	CHEMBL3159
P07498	CHEMBL3621024
P07510	CHEMBL1907588
P07550	CHEMBL210
P07602	CHEMBL3580523
P07686	CHEMBL5877
P07711	CHEMBL3837
P07738	CHEMBL5169112
P07741	CHEMBL4105819
P07766	CHEMBL1975
P07814	CHEMBL3873
P07858	CHEMBL4072
P07900	CHEMBL3880
P07910	CHEMBL2216742
P07942	CHEMBL2364187
P07947	CHEMBL2073
P07948	CHEMBL3905
P07949	CHEMBL2041
P07992	CHEMBL3883316
P07996	CHEMBL4630810
P07998	CHEMBL5425
P08034	CHEMBL4879427
P08047	CHEMBL6103
P08069	CHEMBL1957
P08100	CHEMBL4296308
P08123	CHEMBL2685
P08134	CHEMBL3883318
P08138	CHEMBL4762
P08151	CHEMBL5461
P08172	CHEMBL211
P08173	CHEMBL1821
P08174	CHEMBL4879428
P08183	CHEMBL4302
P08185	CHEMBL2421
P08235	CHEMBL1994
P08236	CHEMBL2728
P08237	CHEMBL3291
P08238	CHEMBL4303
P08240	CHEMBL4105934
P08243	CHEMBL3120
P08246	CHEMBL248
P08253	CHEMBL333
P08254	CHEMBL283
P08263	CHEMBL3409
P08294	CHEMBL2069159
P08311	CHEMBL4071
P08319	CHEMBL2990
P08397	CHEMBL3988601
P08473	CHEMBL1944
P08476	CHEMBL3588735
P08514	CHEMBL212
P08567	CHEMBL4523171
P08571	CHEMBL2384897
P08572	CHEMBL2364188
P08574	CHEMBL4105975
P08575	CHEMBL3243
P08581	CHEMBL3717
P08588	CHEMBL213
P08590	CHEMBL3831286
P08603	CHEMBL4629
P08620	CHEMBL3286072
P08631	CHEMBL3234
P08637	CHEMBL3856162
P08648	CHEMBL3955
P08670	CHEMBL3712854
P08684	CHEMBL340
P08686	CHEMBL2759
P08709	CHEMBL3991
P08754	CHEMBL4221
P08833	CHEMBL4178
P08842	CHEMBL3559
P08865	CHEMBL6119
P08887	CHEMBL2364155
P08908	CHEMBL214
P08912	CHEMBL2035
P08913	CHEMBL1867
P08922	CHEMBL5568
P08962	CHEMBL3713303
P09038	CHEMBL3107
P09086	CHEMBL3509582
P09132	CHEMBL4295704
P09172	CHEMBL3102
P09210	CHEMBL2241
P09211	CHEMBL3902
P09237	CHEMBL4073
P09238	CHEMBL4270
P09382	CHEMBL4915
P09417	CHEMBL3730
P09429	CHEMBL2311236
P09467	CHEMBL3975
P09471	CHEMBL4742
P09488	CHEMBL2081
P09493	CHEMBL4295705
P09496	CHEMBL4295706
P09544	CHEMBL1255132
P09601	CHEMBL2823
P09603	CHEMBL3989382
P09619	CHEMBL1913
P09651	CHEMBL1955709
P09668	CHEMBL2225
P09693	CHEMBL2364168
P09758	CHEMBL3856163
P09769	CHEMBL4454
P09848	CHEMBL1075131
P09871	CHEMBL3913
P09874	CHEMBL3105
P09884	CHEMBL1828
P09917	CHEMBL215
P09923	CHEMBL5573
P09936	CHEMBL6159
P09958	CHEMBL2611
P09960	CHEMBL4618
P09972	CHEMBL4295709
P0C0P6	CHEMBL3596086
P0C1S8	CHEMBL5095
P0C264	CHEMBL5116
P0C869	CHEMBL4136
P0C870	CHEMBL4879430
P0CG29	CHEMBL2142
P0CG47	CHEMBL4523178
P0CG48	CHEMBL4523179
P0DJD9	CHEMBL3295
P0DMM9	CHEMBL1743293
P0DMS8	CHEMBL256
P0DMS9	CHEMBL3712907
P0DMV8	CHEMBL5460
P0DMV9	CHEMBL3885585
P0DP23	CHEMBL6093
P0DP24	CHEMBL4296043
P0DPA2	CHEMBL5169113
P0DPD6	CHEMBL5890
P0DPH7	CHEMBL2095182
P0DPI2	CHEMBL5169114
P0DTE4	CHEMBL1743321
P0DTE5	CHEMBL4523985
P0DUB6	CHEMBL2478
P10070	CHEMBL5119
P10074	CHEMBL5069366
P10092	CHEMBL3713541
P10144	CHEMBL2316
P10145	CHEMBL2157
P10153	CHEMBL5120
P10242	CHEMBL5169115
P10253	CHEMBL2608
P10275	CHEMBL1871
P10276	CHEMBL2055
P10323	CHEMBL2738
P10398	CHEMBL1169596
P10415	CHEMBL4860
P10451	CHEMBL1741309
P10515	CHEMBL4523180
P10586	CHEMBL3521
P10588	CHEMBL1961791
P10589	CHEMBL1961789
P10599	CHEMBL2010624
P10600	CHEMBL3712903
P10619	CHEMBL6115
P10620	CHEMBL1743184
P10632	CHEMBL3721
P10635	CHEMBL289
P10636	CHEMBL1293224
P10644	CHEMBL4928
P10646	CHEMBL3713062
P10696	CHEMBL3402
P10721	CHEMBL1936
P10746	CHEMBL4433
P10747	CHEMBL5191
P10768	CHEMBL2189130
P10809	CHEMBL4721
P10826	CHEMBL2008
P10827	CHEMBL1860
P10828	CHEMBL1947
P10911	CHEMBL4523650
P10912	CHEMBL1976
P10916	CHEMBL3831286
P10997	CHEMBL1914266
P11021	CHEMBL1781865
P11047	CHEMBL2364187
P11049	CHEMBL3712880
P11086	CHEMBL4617
P11137	CHEMBL2390810
P11142	CHEMBL1275223
P11150	CHEMBL2127
P11166	CHEMBL2535
P11168	CHEMBL5873
P11169	CHEMBL5215
P11172	CHEMBL5216
P11177	CHEMBL4882
P11215	CHEMBL3826
