From	To
Q9JKT4	CHEMBL3714703
Q9JHI9	CHEMBL4523462
Q9EQ16	CHEMBL4630853
Q3KNA1	CHEMBL5169153
O88351	CHEMBL6012
P11247	CHEMBL2440
O89084	CHEMBL2111373
Q60641	CHEMBL5343
Q63932	CHEMBL3885565
Q99P50	CHEMBL3428
O35084	CHEMBL3329080
Q60795	CHEMBL1075148
Q9JIP4	CHEMBL4879520
Q80W94	CHEMBL3603729
Q62448	CHEMBL5169160
P97391	CHEMBL4167
Q8BVQ5	CHEMBL2189138
Q920H4	CHEMBL2097162
P19324	CHEMBL1163113
P49582	CHEMBL3365
P20852	CHEMBL4085
O35435	CHEMBL2991
Q8CIM5	CHEMBL4523386
Q6ZQ88	CHEMBL4295874
Q6NS65	CHEMBL4295864
P35991	CHEMBL3259478
Q05769	CHEMBL4321
Q9QX29	CHEMBL4523481
P30204	CHEMBL4399
P70349	CHEMBL1250364
Q571F8	CHEMBL2176860
Q9QXX3	CHEMBL4200
Q9DCV3	CHEMBL1075285
Q923J1	CHEMBL3714706
Q91VM4	CHEMBL5169183
Q08351	CHEMBL1075309
Q8R0V5	CHEMBL2189159
Q6P8J2	CHEMBL3794
Q3UHJ0	CHEMBL5169154
P47806	CHEMBL5007
P17047	CHEMBL4630812
Q62167	CHEMBL3751657
Q8CFW1	CHEMBL4739697
Q62226	CHEMBL5387
P30987	CHEMBL1795181
P28700	CHEMBL3084
Q04207	CHEMBL5902
Q5QD11	CHEMBL2176792
B2RX12	CHEMBL2073683
Q62463	CHEMBL3414410
P06240	CHEMBL2480
P21981	CHEMBL2079853
O55042	CHEMBL5169100
Q9WUN2	CHEMBL2189160
O70370	CHEMBL4098
Q9D3A9	CHEMBL4739703
Q91XF0	CHEMBL3271931
Q9CPU0	CHEMBL2175
O88704	CHEMBL1250401
P09631	CHEMBL4879429
Q9CR29	CHEMBL4879507
P30730	CHEMBL4523213
O88939	CHEMBL4879422
Q9JIP6	CHEMBL4879521
Q3UP87	CHEMBL5156
Q9Z0R9	CHEMBL5087
Q9DBL9	CHEMBL3259509
Q03311	CHEMBL2528
