From	To
P17256	CHEMBL4274
Q62967	CHEMBL4296309
Q07071	CHEMBL3124733
Q9Z0U5	CHEMBL1641355
P34158	CHEMBL3992
Q7TQM4	CHEMBL2856
Q9QZN9	CHEMBL2470
P85973	CHEMBL2395
P30349	CHEMBL2400
P80385	CHEMBL3885503
P80385	CHEMBL4523617
P04799	CHEMBL1075125
Q64578	CHEMBL3585236
P13697	CHEMBL2293
P07896	CHEMBL3232
Q09429	CHEMBL1944490
P83858	CHEMBL1949484
P12392	CHEMBL2658
D3ZUM4	CHEMBL2680
P51639	CHEMBL3247
Q9ES66	CHEMBL6130
P32755	CHEMBL5863
Q8CGU9	CHEMBL3286063
P28647	CHEMBL3360
P06766	CHEMBL4343
D3ZYL0	CHEMBL4523112
P51907	CHEMBL3113
P23978	CHEMBL4054
Q08201	CHEMBL2073706
Q6XKD3	CHEMBL1075112
Q9R0Q2	CHEMBL2126
A2RRU1	CHEMBL4523104
P53563	CHEMBL1075182
Q64194	CHEMBL2352
P80299	CHEMBL5669
P43219	CHEMBL5001
P20789	CHEMBL3027
P15589	CHEMBL3531
P70606	CHEMBL3743
P61794	CHEMBL4595
P25102	CHEMBL4654
Q6IE75	CHEMBL2331066
Q5XI64	CHEMBL3708569
P97557	CHEMBL4524039
Q64663	CHEMBL2496
Q62666	CHEMBL2125
Q9QYJ6	CHEMBL6140
Q9QX05	CHEMBL4523480
Q63009	CHEMBL1275220
P70496	CHEMBL3308939
P21588	CHEMBL1075214
P18298	CHEMBL2838
P23711	CHEMBL3348
P49864	CHEMBL4557
P09811	CHEMBL3239
O35049	CHEMBL4523130
Q6P6W3	CHEMBL2095943
P05982	CHEMBL3091269
P07872	CHEMBL4632
Q64359	CHEMBL4523657
P35353	CHEMBL4649
O54699	CHEMBL1287614
P15431	CHEMBL1907607
Q8VIJ5	CHEMBL3351213
P15385	CHEMBL5583
P28570	CHEMBL3814
Q62689	CHEMBL1075225
P70502	CHEMBL2073707
Q08603	CHEMBL4523995
P20417	CHEMBL2371
Q673L6	CHEMBL3108654
P48442	CHEMBL2516
P18886	CHEMBL4037
P24524	CHEMBL3392921
O35921	CHEMBL3700
P10633	CHEMBL2475
Q9Z0U4	CHEMBL2753
Q8R413	CHEMBL1949485
P24053	CHEMBL4440
Q9R1T3	CHEMBL3308941
P32738	CHEMBL3945
P18506	CHEMBL4296050
P18506	CHEMBL4296053
P18506	CHEMBL4296056
P18506	CHEMBL4296061
P32305	CHEMBL3223
P52500	CHEMBL4280
Q63089	CHEMBL2073670
Q6P7Q4	CHEMBL2306
P49287	CHEMBL2566
P00388	CHEMBL2817
P98106	CHEMBL3879832
P02773	CHEMBL3141
Q4QR99	CHEMBL4395
P30936	CHEMBL3340
Q925U2	CHEMBL2172
P24135	CHEMBL5230
O35433	CHEMBL5102
P25095	CHEMBL329
P25109	CHEMBL3885509
P25109	CHEMBL4523658
P50339	CHEMBL3168
P21555	CHEMBL2587
P21932	CHEMBL2095179
P32244	CHEMBL4023
Q923M1	CHEMBL3509605
P21575	CHEMBL1075191
P49654	CHEMBL4824
P07824	CHEMBL3232699
P15149	CHEMBL3705
P43253	CHEMBL3322
Q91V26	CHEMBL1075107
Q9QUH6	CHEMBL2176804
P11348	CHEMBL2910
P19332	CHEMBL1075117
P27732	CHEMBL4132
Q91Y77	CHEMBL2073717
P00564	CHEMBL2176800
Q8K4F2	CHEMBL3289
P12785	CHEMBL3783
Q64604	CHEMBL2834
Q2AC31	CHEMBL3309099
Q99N01	CHEMBL2073701
P18910	CHEMBL5277
P30937	CHEMBL2096977
P34978	CHEMBL3156
G3V9H8	CHEMBL4295641
Q62962	CHEMBL3562171
O08725	CHEMBL3278
P35739	CHEMBL4220
Q8CGZ2	CHEMBL2176790
P30083	CHEMBL1955712
P30969	CHEMBL3066
Q9R0W2	CHEMBL1770032
P19024	CHEMBL4295724
Q10728	CHEMBL5169148
A5H300	CHEMBL4105765
Q05941	CHEMBL4980
P53790	CHEMBL5374
P13721	CHEMBL4276
P29089	CHEMBL263
P15207	CHEMBL3072
G3V673	CHEMBL3988600
P97696	CHEMBL1914274
Q62640	CHEMBL1681629
P51574	CHEMBL2073691
O54937	CHEMBL2096663
P63142	CHEMBL4105982
O35881	CHEMBL4295660
P53610	CHEMBL2111479
Q9Z0W0	CHEMBL3822349
P14600	CHEMBL4027
Q64244	CHEMBL5169163
P47820	CHEMBL2625
P26284	CHEMBL2176823
P21396	CHEMBL3358
P16296	CHEMBL4105734
Q8K3T4	CHEMBL1795180
P11715	CHEMBL4430
P00763	CHEMBL4290
P43118	CHEMBL4680028
Q9R0W5	CHEMBL3621030
Q71RJ2	CHEMBL4523358
P34980	CHEMBL5674
Q9Z258	CHEMBL4739708
Q00961	CHEMBL401
O08565	CHEMBL5556
F1MAB8	CHEMBL4295640
B0K020	CHEMBL3308979
Q02769	CHEMBL3815
Q04589	CHEMBL4523276
Q9QZR6	CHEMBL2176803
Q8QZV1	CHEMBL3638358
P14604	CHEMBL3153
Q8VHW5	CHEMBL4523410
F1LNR9	CHEMBL3886063
P02770	CHEMBL4817
Q00959	CHEMBL310
P11980	CHEMBL4994
Q63474	CHEMBL4295859
Q9JJ74	CHEMBL2109240
Q8K4R8	CHEMBL4295898
O35854	CHEMBL3319
Q02563	CHEMBL4381
Q62928	CHEMBL4909
P33535	CHEMBL270
Q498D6	CHEMBL4802008
P07154	CHEMBL2305
P29598	CHEMBL1075245
P51556	CHEMBL4523237
Q00954	CHEMBL4524040
P07335	CHEMBL2176812
P28564	CHEMBL3459
Q9QZH8	CHEMBL3509586
Q9JK96	CHEMBL3621034
P25122	CHEMBL2321617
P20059	CHEMBL2176811
Q02293	CHEMBL2095197
O09028	CHEMBL1907607
P80067	CHEMBL3308944
P31422	CHEMBL3067
Q09QM4	CHEMBL4295807
P09321	CHEMBL2176810
O54814	CHEMBL3928
P00507	CHEMBL2351
P16177	CHEMBL3154
Q63016	CHEMBL4149
O88871	CHEMBL2111474
P51579	CHEMBL2122
Q9ERS0	CHEMBL5169194
O88506	CHEMBL4105808
Q06000	CHEMBL5906
Q07917	CHEMBL4523278
P43144	CHEMBL2585
O54735	CHEMBL4567
P00185	CHEMBL2922
Q62868	CHEMBL5490
Q9ESP7	CHEMBL4523453
P33436	CHEMBL1075175
G3V906	CHEMBL2146353
Q99MA2	CHEMBL2970
P15791	CHEMBL4296090
P70627	CHEMBL5098
P97521	CHEMBL2173
P55213	CHEMBL1075185
Q6MG55	CHEMBL4523343
P02665	CHEMBL2210
P0C0W8	CHEMBL4888453
P04797	CHEMBL2176832
P14644	CHEMBL2094267
P14270	CHEMBL2712
P97879	CHEMBL2366484
Q9ESK8	CHEMBL4523667
Q63377	CHEMBL4106166
Q6AYB2	CHEMBL1075197
P08592	CHEMBL3638365
O35077	CHEMBL3971
P12938	CHEMBL3057
P04055	CHEMBL5016
G3V783	CHEMBL3822350
Q01066	CHEMBL2111322
P28565	CHEMBL5450
D3ZWV0	CHEMBL2630
P45352	CHEMBL4341
P57113	CHEMBL4630822
P11507	CHEMBL3585237
Q63384	CHEMBL5106
P63116	CHEMBL4105976
Q01984	CHEMBL3241
P35365	CHEMBL2619
P98105	CHEMBL2554
Q9Z1K9	CHEMBL2523
P59215	CHEMBL4295785
P20961	CHEMBL2155
Q924T8	CHEMBL1075218
P00787	CHEMBL2602
P54645	CHEMBL4533
P32198	CHEMBL3858
P09416	CHEMBL4105894
Q7TSF2	CHEMBL3472
P42264	CHEMBL3744
P04073	CHEMBL2152
Q5EGZ1	CHEMBL2311
P34975	CHEMBL3614
Q80W57	CHEMBL3509585
P08911	CHEMBL277
P67874	CHEMBL3988629
Q64536	CHEMBL2096663
